Vehicle Number,Blacklist Flag,No. of Fines,Color,Fitness Upto,Insurance Upto,Insurance Comp,Maker,Rc Status,Registration Date,RTO,Year of Purchase,Type of Car,Pollution Cert Validity
NL 93 NU 7634,no,0,Yellow,10-10-2025,14-01-2028,Future Generali,Tata Motors,DEACTIVE,05-06-2010,NL,2002,personal,06-12-2029
HR 40 NQ 8593,yes,9,Green,28-02-2031,04-06-2033,United India Insurance,Honda,DEACTIVE,13-06-2014,HR,2022,commercial,04-04-2030
MH 55 MP 3130,yes,7,Red,13-04-2029,25-09-2032,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,24-10-2012,MH,2013,personal,30-04-2029
MH 16 NR 3988,no,0,Silver,09-11-2032,29-08-2030,Tata AIG,Maruti Suzuki,ACTIVE,06-07-2010,MH,2014,commercial,24-12-2024
AP 33 SS 9784,yes,4,Yellow,09-09-2030,01-10-2023,Future Generali,HERO MOTOCORP LTD,DEACTIVE,01-05-2013,AP,2000,personal,28-09-2025
PB 11 WR 8388,no,0,White,09-12-2024,20-02-2027,Reliance General,Maruti Suzuki,DEACTIVE,01-01-2015,PB,2020,personal,15-11-2031
UP 31 JC 2255,yes,3,Yellow,16-01-2031,05-06-2026,Oriental Insurance,Toyota,ACTIVE,06-07-2013,UP,2013,commercial,24-06-2028
MH 22 HF 1170,no,0,Yellow,24-11-2032,13-05-2033,Future Generali,Maruti Suzuki,DEACTIVE,12-02-2012,MH,2013,personal,15-05-2030
GA 84 NT 6307,yes,4,Blue,20-06-2026,22-11-2029,Tata AIG,Honda,DEACTIVE,24-11-2021,GA,2021,personal,15-06-2033
PB 21 PG 3314,yes,1,Green,17-11-2032,15-04-2027,HDFC ERGO,Maruti Suzuki,DEACTIVE,25-11-2016,PB,2008,personal,25-12-2024
GJ 73 AR 1444,yes,3,Black,01-07-2029,01-01-2025,ICICI LOMBARD,Toyota,ACTIVE,22-12-2013,GJ,2005,personal,28-02-2028
RJ 72 GD 7136,no,0,Yellow,23-05-2030,24-04-2028,Tata AIG,Tata Motors,DEACTIVE,11-12-2021,RJ,2007,personal,22-05-2033
CG 30 TP 1508,yes,3,Blue,06-03-2028,26-03-2032,Bajaj Allianz,Honda,DEACTIVE,16-07-2010,CG,2000,commercial,08-07-2028
CG 20 VC 6304,yes,5,Green,15-12-2025,11-08-2028,Reliance General,Maruti Suzuki,DEACTIVE,25-07-2013,CG,2008,commercial,10-07-2028
MN 17 IN 9540,yes,2,Black,10-06-2026,26-04-2031,SBI General,Tata Motors,DEACTIVE,09-02-2015,MN,2012,commercial,23-10-2024
MN 95 SQ 4810,yes,7,Green,07-02-2030,03-07-2032,ICICI LOMBARD,Toyota,ACTIVE,22-01-2010,MN,2005,commercial,31-10-2027
CG 23 DD 4079,no,0,Yellow,21-01-2030,21-03-2025,SBI General,HERO MOTOCORP LTD,DEACTIVE,19-11-2012,CG,2011,personal,28-02-2031
HP 87 FO 1460,yes,8,Yellow,02-05-2026,13-09-2032,HDFC ERGO,Toyota,ACTIVE,17-01-2013,HP,2013,commercial,28-01-2027
MH 94 CY 2978,yes,4,Red,06-08-2024,05-11-2032,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,04-06-2018,MH,2022,commercial,08-08-2032
JH 72 DM 3794,no,0,Silver,04-03-2029,10-06-2030,Reliance General,Hyundai,ACTIVE,08-05-2013,JH,2021,personal,15-10-2026
JK 99 OQ 5009,yes,5,White,21-02-2032,01-10-2032,Future Generali,Tata Motors,ACTIVE,28-12-2013,JK,2011,personal,31-07-2029
MP 43 FP 7073,yes,9,Blue,02-04-2031,29-07-2031,New India Assurance,Honda,DEACTIVE,09-05-2017,MP,2023,commercial,06-04-2031
PB 19 KM 5280,no,0,Blue,12-04-2030,08-02-2025,United India Insurance,Toyota,ACTIVE,22-04-2020,PB,2016,commercial,01-05-2026
HP 85 QU 6706,yes,5,Red,02-04-2028,17-09-2030,Reliance General,Honda,ACTIVE,29-09-2022,HP,2009,personal,27-06-2030
AS 10 KL 9331,yes,7,White,04-07-2031,07-08-2029,Future Generali,Toyota,ACTIVE,18-08-2018,AS,2020,commercial,28-11-2030
AP 75 UE 6099,no,0,Green,08-12-2030,18-08-2030,Future Generali,Tata Motors,DEACTIVE,05-08-2016,AP,2021,commercial,01-04-2029
HR 56 BQ 3256,no,0,Blue,19-11-2032,08-10-2032,Tata AIG,Toyota,ACTIVE,15-01-2011,HR,2003,personal,19-05-2032
RJ 78 JV 2157,no,0,Red,04-04-2029,29-06-2024,United India Insurance,Honda,DEACTIVE,20-12-2011,RJ,2008,personal,20-08-2029
UK 38 EK 3556,yes,5,Green,23-10-2032,25-10-2032,Reliance General,Honda,DEACTIVE,27-10-2021,UK,2006,personal,08-06-2031
TS 85 VU 2248,no,0,Green,16-09-2023,16-05-2027,Future Generali,Hyundai,ACTIVE,17-11-2014,TS,2017,commercial,31-07-2031
KA 82 UU 9674,no,0,Yellow,18-12-2032,07-04-2031,Reliance General,Honda,DEACTIVE,12-04-2021,KA,2003,personal,05-04-2031
JH 23 QF 1045,no,0,Green,20-07-2031,23-01-2033,SBI General,Tata Motors,DEACTIVE,27-08-2021,JH,2009,commercial,13-01-2028
ML 16 MV 5560,yes,6,Green,21-07-2026,03-08-2028,Bajaj Allianz,Toyota,DEACTIVE,02-12-2013,ML,2009,personal,16-10-2026
JK 39 FM 4997,yes,5,Black,22-03-2029,30-04-2032,Oriental Insurance,HERO MOTOCORP LTD,ACTIVE,02-05-2019,JK,2013,personal,05-09-2026
UP 38 ON 6874,no,0,Green,27-11-2032,03-10-2023,Oriental Insurance,Honda,DEACTIVE,30-10-2014,UP,2023,personal,15-06-2026
MH 26 NY 3270,yes,5,Blue,28-05-2029,21-08-2026,HDFC ERGO,Maruti Suzuki,DEACTIVE,10-11-2017,MH,2009,commercial,19-06-2030
AS 23 PP 4969,yes,5,Silver,07-08-2028,21-12-2031,SBI General,Tata Motors,DEACTIVE,30-12-2019,AS,2006,personal,23-10-2027
AP 28 IC 9861,yes,9,Blue,19-05-2028,16-06-2025,Future Generali,Hyundai,DEACTIVE,25-12-2020,AP,2007,commercial,24-05-2026
HP 14 EQ 6513,no,0,White,02-03-2030,05-10-2027,United India Insurance,Toyota,ACTIVE,25-06-2014,HP,2021,personal,08-07-2025
SK 69 KI 5555,no,0,Green,16-11-2023,23-11-2032,HDFC ERGO,Hyundai,ACTIVE,29-01-2021,SK,2020,personal,05-01-2028
KL 60 XU 5696,yes,7,Green,05-06-2029,02-06-2026,Tata AIG,Tata Motors,DEACTIVE,22-12-2012,KL,2005,personal,16-01-2028
MN 75 ON 8458,yes,6,Black,14-08-2032,16-02-2025,New India Assurance,Maruti Suzuki,DEACTIVE,02-03-2019,MN,2009,personal,21-01-2029
KA 34 TP 6593,no,0,Blue,28-02-2025,13-02-2031,HDFC ERGO,Toyota,ACTIVE,25-09-2012,KA,2023,commercial,25-10-2029
OD 68 VZ 9098,no,0,Blue,13-08-2029,09-08-2025,Reliance General,Toyota,ACTIVE,23-11-2019,OD,2011,commercial,30-12-2026
BR 82 WU 2113,yes,4,Yellow,16-01-2033,16-02-2030,Tata AIG,Honda,DEACTIVE,19-06-2013,BR,2011,commercial,10-04-2027
WB 50 WH 3403,no,0,Silver,06-11-2024,28-10-2028,Oriental Insurance,Toyota,ACTIVE,29-05-2012,WB,2007,commercial,24-11-2031
RJ 62 EG 4338,no,0,Black,21-10-2030,03-04-2028,New India Assurance,Tata Motors,ACTIVE,27-06-2022,RJ,2006,personal,01-08-2032
MH 54 RM 5432,yes,5,Red,26-06-2024,08-03-2032,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,09-06-2019,MH,2010,personal,26-02-2025
CG 73 PG 9300,no,0,Black,23-10-2031,13-02-2030,Future Generali,Hyundai,DEACTIVE,05-11-2010,CG,2017,personal,04-01-2029
PB 84 SZ 1533,no,0,Yellow,08-08-2027,19-05-2027,HDFC ERGO,Maruti Suzuki,ACTIVE,03-06-2013,PB,2000,commercial,14-08-2029
PB 77 MA 7055,yes,4,Black,19-06-2030,06-07-2026,HDFC ERGO,Hyundai,DEACTIVE,29-05-2010,PB,2015,commercial,06-08-2025
PB 31 TR 5506,no,0,Yellow,01-10-2027,01-10-2025,ICICI LOMBARD,Tata Motors,DEACTIVE,07-07-2023,PB,2002,personal,05-10-2029
UK 71 XL 1957,no,0,Red,01-02-2027,30-08-2032,Future Generali,Maruti Suzuki,DEACTIVE,03-02-2013,UK,2018,commercial,14-07-2029
OD 47 BR 3405,yes,9,Green,10-12-2027,25-05-2028,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,14-07-2011,OD,2013,personal,19-06-2033
NL 88 OF 7300,yes,4,Green,07-12-2029,05-02-2025,United India Insurance,Honda,DEACTIVE,21-01-2018,NL,2005,personal,15-07-2033
KA 89 VC 1217,yes,5,Black,13-12-2026,29-06-2027,Bajaj Allianz,Maruti Suzuki,ACTIVE,12-04-2017,KA,2017,personal,16-09-2028
MZ 13 HB 8927,yes,6,White,10-09-2023,18-12-2031,Bajaj Allianz,Hyundai,DEACTIVE,07-05-2014,MZ,2012,commercial,12-04-2029
UK 59 PJ 8350,no,0,Red,14-12-2024,24-04-2024,Oriental Insurance,Hyundai,ACTIVE,08-01-2019,UK,2017,commercial,09-09-2026
WB 63 DP 1066,no,0,Green,05-04-2026,19-09-2023,United India Insurance,Tata Motors,ACTIVE,25-12-2017,WB,2023,personal,08-05-2031
ML 54 SQ 4117,yes,3,Green,21-10-2027,30-04-2032,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,03-11-2022,ML,2022,commercial,14-05-2033
GA 38 NM 8615,no,0,Black,02-11-2028,08-09-2025,United India Insurance,Tata Motors,ACTIVE,25-01-2019,GA,2012,commercial,04-04-2028
HP 80 FQ 1608,no,0,Yellow,08-11-2024,12-12-2023,HDFC ERGO,Toyota,ACTIVE,24-04-2016,HP,2015,commercial,27-06-2032
AS 94 UN 5466,no,0,Green,23-11-2031,08-01-2029,SBI General,Toyota,ACTIVE,24-12-2018,AS,2008,commercial,15-01-2024
UP 36 CY 7629,yes,1,Silver,17-11-2032,04-07-2031,Bajaj Allianz,Toyota,ACTIVE,23-05-2013,UP,2016,personal,10-10-2026
JH 67 FS 2734,no,0,White,10-08-2025,18-08-2027,Bajaj Allianz,Maruti Suzuki,DEACTIVE,05-03-2011,JH,2000,commercial,21-09-2026
HP 69 OL 7537,yes,4,Silver,25-04-2030,30-10-2028,HDFC ERGO,Maruti Suzuki,DEACTIVE,27-11-2014,HP,2000,commercial,29-08-2030
GJ 39 IG 3819,yes,6,White,19-06-2026,11-01-2025,Oriental Insurance,Hyundai,DEACTIVE,20-06-2018,GJ,2008,personal,20-06-2029
TR 42 BP 6686,yes,4,Black,23-10-2027,13-12-2029,HDFC ERGO,Hyundai,DEACTIVE,21-11-2015,TR,2021,personal,20-03-2027
KL 34 HI 3219,no,0,White,16-03-2031,06-01-2032,ICICI LOMBARD,Toyota,ACTIVE,29-08-2012,KL,2019,commercial,04-04-2032
TS 75 QF 3199,no,0,Red,16-11-2024,12-06-2030,New India Assurance,Toyota,DEACTIVE,06-09-2013,TS,2007,personal,29-04-2030
PB 32 XB 8454,no,0,Blue,03-04-2030,18-05-2027,Bajaj Allianz,Honda,DEACTIVE,11-07-2021,PB,2022,personal,10-09-2028
HR 89 GO 6417,no,0,Yellow,08-02-2024,11-03-2027,Tata AIG,Tata Motors,DEACTIVE,20-04-2022,HR,2010,commercial,27-02-2028
JH 17 CF 5886,yes,8,Blue,10-11-2027,24-05-2026,New India Assurance,Tata Motors,DEACTIVE,23-09-2012,JH,2009,personal,09-05-2028
MH 88 US 8091,yes,6,White,27-07-2030,05-02-2026,Bajaj Allianz,Maruti Suzuki,ACTIVE,23-06-2013,MH,2008,personal,14-04-2032
KL 60 KO 4492,no,0,Yellow,29-12-2028,11-09-2028,Future Generali,HERO MOTOCORP LTD,DEACTIVE,29-04-2018,KL,2012,commercial,30-06-2028
MN 70 PZ 3647,no,0,Blue,01-08-2028,01-09-2028,New India Assurance,Toyota,ACTIVE,15-12-2013,MN,2002,commercial,07-12-2029
HP 88 ZM 4766,no,0,Silver,05-10-2026,28-07-2028,Reliance General,Honda,DEACTIVE,25-09-2014,HP,2008,personal,13-04-2033
UK 73 CG 1619,no,0,Yellow,11-11-2023,13-04-2030,ICICI LOMBARD,Toyota,ACTIVE,25-02-2020,UK,2009,personal,23-09-2029
CG 61 TS 8405,yes,7,White,10-11-2032,18-11-2032,Future Generali,Toyota,DEACTIVE,12-12-2014,CG,2019,commercial,08-08-2029
TR 65 EY 2012,no,0,Green,20-11-2026,11-11-2023,United India Insurance,Toyota,ACTIVE,10-11-2018,TR,2021,commercial,27-11-2028
GJ 65 JK 7565,yes,7,Yellow,11-05-2033,08-12-2028,Future Generali,Tata Motors,ACTIVE,16-03-2019,GJ,2022,commercial,04-07-2027
KA 28 CB 6363,yes,7,Black,24-04-2030,12-10-2023,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,06-12-2010,KA,2018,personal,06-06-2030
AP 87 SD 4302,no,0,Green,11-07-2026,01-03-2031,HDFC ERGO,Honda,DEACTIVE,04-10-2018,AP,2009,commercial,24-07-2028
RJ 52 AR 7451,yes,1,Yellow,26-06-2025,04-11-2026,SBI General,Toyota,DEACTIVE,27-12-2019,RJ,2000,personal,28-10-2025
KL 97 CZ 1673,no,0,Green,02-05-2027,27-09-2028,SBI General,Toyota,ACTIVE,14-12-2020,KL,2017,personal,30-03-2028
NL 27 WL 2595,yes,5,Red,13-05-2030,21-10-2024,Oriental Insurance,Maruti Suzuki,DEACTIVE,05-04-2019,NL,2013,commercial,10-04-2025
KA 45 ME 3190,yes,3,Blue,08-10-2026,11-10-2031,Oriental Insurance,Maruti Suzuki,ACTIVE,14-06-2015,KA,2021,personal,15-04-2026
WB 44 NS 7313,yes,3,Silver,01-06-2028,11-06-2025,Future Generali,Maruti Suzuki,DEACTIVE,25-08-2016,WB,2013,personal,18-02-2024
ML 78 PT 6679,yes,5,Silver,08-10-2031,06-01-2024,Tata AIG,Toyota,DEACTIVE,27-02-2016,ML,2022,personal,15-08-2023
MH 73 PY 4005,no,0,Silver,02-04-2027,19-07-2024,ICICI LOMBARD,Hyundai,ACTIVE,22-01-2014,MH,2012,commercial,02-12-2024
TN 85 WV 8907,yes,6,Red,24-06-2033,23-08-2027,SBI General,Toyota,ACTIVE,20-04-2014,TN,2001,commercial,17-10-2025
KA 35 TS 5701,no,0,Green,25-09-2024,16-06-2027,United India Insurance,Hyundai,ACTIVE,25-05-2013,KA,2011,commercial,23-04-2030
WB 23 OK 5333,no,0,Blue,04-03-2032,07-07-2024,HDFC ERGO,Tata Motors,ACTIVE,09-12-2010,WB,2001,commercial,03-12-2024
HR 38 PW 6067,no,0,Red,21-05-2024,16-11-2028,Oriental Insurance,Toyota,DEACTIVE,08-05-2018,HR,2022,personal,30-09-2029
AS 36 LW 7619,yes,7,Red,02-10-2032,21-08-2029,Tata AIG,Tata Motors,DEACTIVE,14-09-2021,AS,2010,commercial,13-03-2031
WB 36 OX 4426,no,0,Silver,15-01-2030,10-02-2032,Tata AIG,Maruti Suzuki,DEACTIVE,27-12-2021,WB,2002,commercial,08-01-2031
MH 36 ZO 7220,yes,3,White,15-03-2026,07-06-2032,ICICI LOMBARD,Toyota,ACTIVE,11-10-2017,MH,2023,commercial,19-07-2027
JH 35 ME 2641,no,0,Blue,18-09-2023,18-01-2025,SBI General,HERO MOTOCORP LTD,DEACTIVE,07-12-2012,JH,2002,commercial,30-07-2027
PB 97 OO 4907,yes,2,Blue,25-04-2030,12-05-2032,Tata AIG,Toyota,ACTIVE,31-03-2023,PB,2021,personal,20-08-2027
UK 95 ZT 5922,yes,10,Yellow,12-07-2026,31-10-2031,New India Assurance,Toyota,ACTIVE,18-09-2014,UK,2003,commercial,28-08-2025
TS 83 YI 7642,yes,9,Silver,10-08-2023,20-05-2033,HDFC ERGO,Honda,ACTIVE,09-01-2023,TS,2022,personal,19-10-2028
TR 27 OT 3770,yes,10,White,17-06-2027,02-04-2030,Tata AIG,Hyundai,ACTIVE,19-04-2020,TR,2008,personal,30-06-2031
AP 63 HM 8068,yes,4,Blue,28-05-2024,09-08-2025,New India Assurance,Tata Motors,DEACTIVE,31-12-2011,AP,2001,commercial,08-06-2032
RJ 34 PI 2896,yes,2,Yellow,22-03-2026,16-10-2027,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,09-12-2013,RJ,2013,commercial,14-11-2029
BR 46 TD 5329,no,0,Yellow,10-09-2027,28-01-2031,New India Assurance,Tata Motors,ACTIVE,04-08-2017,BR,2011,personal,19-10-2024
AS 72 RZ 3612,no,0,Yellow,28-04-2026,29-06-2029,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,22-05-2019,AS,2021,personal,03-12-2031
HP 86 EX 8437,yes,10,White,10-01-2025,16-03-2025,United India Insurance,Hyundai,DEACTIVE,01-08-2020,HP,2013,personal,09-06-2028
KA 33 RX 3822,yes,9,Red,17-05-2030,08-01-2030,United India Insurance,Honda,DEACTIVE,09-06-2020,KA,2017,personal,19-12-2032
TR 87 OQ 9717,yes,10,Blue,08-05-2032,13-08-2026,Bajaj Allianz,Maruti Suzuki,ACTIVE,16-07-2011,TR,2000,commercial,17-05-2030
HP 62 NV 3830,yes,3,Yellow,28-03-2031,30-09-2030,Bajaj Allianz,Hyundai,ACTIVE,10-10-2010,HP,2011,personal,07-09-2027
WB 27 HQ 6822,yes,9,Black,04-07-2030,15-10-2024,Oriental Insurance,Maruti Suzuki,DEACTIVE,28-06-2021,WB,2004,commercial,03-01-2030
SK 49 IC 6377,yes,9,Blue,15-05-2032,14-07-2025,SBI General,HERO MOTOCORP LTD,DEACTIVE,10-01-2019,SK,2022,personal,04-06-2031
NL 12 DJ 8980,yes,5,Silver,26-09-2023,16-02-2025,Tata AIG,Honda,DEACTIVE,11-10-2022,NL,2007,commercial,27-07-2032
GJ 24 ZR 3887,no,0,Blue,12-05-2031,27-08-2025,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,21-04-2019,GJ,2015,personal,22-02-2024
AR 16 SC 3256,yes,8,Black,22-08-2025,22-12-2029,United India Insurance,Honda,DEACTIVE,29-08-2021,AR,2018,personal,25-03-2033
UK 14 HW 8445,yes,2,Silver,15-10-2028,22-05-2027,SBI General,Toyota,DEACTIVE,09-11-2010,UK,2014,commercial,22-02-2030
PB 64 PS 4674,yes,1,Red,05-05-2025,25-07-2028,Bajaj Allianz,Tata Motors,ACTIVE,14-04-2012,PB,2012,commercial,31-08-2028
GA 19 BJ 7695,yes,3,Red,27-07-2027,04-09-2026,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,18-12-2015,GA,2004,personal,14-11-2027
UK 72 WY 4203,no,0,Yellow,01-09-2024,08-06-2028,HDFC ERGO,Honda,ACTIVE,14-11-2018,UK,2023,personal,26-10-2027
AS 98 TQ 8500,yes,9,Silver,30-12-2023,11-06-2024,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,08-09-2020,AS,2004,commercial,28-12-2027
HP 16 KA 8526,no,0,Yellow,02-01-2031,22-12-2025,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,12-11-2016,HP,2020,commercial,22-04-2026
MP 67 EL 1004,yes,10,Yellow,25-11-2025,28-02-2024,HDFC ERGO,Maruti Suzuki,ACTIVE,20-05-2011,MP,2012,personal,01-12-2023
PB 87 UA 9061,yes,8,Black,20-10-2030,27-05-2028,SBI General,Hyundai,ACTIVE,07-05-2016,PB,2011,personal,31-03-2029
NL 26 DH 3711,no,0,White,04-03-2025,07-04-2031,New India Assurance,Maruti Suzuki,DEACTIVE,21-12-2020,NL,2001,personal,24-07-2031
MH 60 VY 8212,yes,6,White,02-08-2028,19-08-2030,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,04-10-2014,MH,2006,commercial,24-12-2031
HP 79 SP 4556,no,0,Black,02-01-2033,13-01-2026,Oriental Insurance,Honda,DEACTIVE,05-02-2013,HP,2010,personal,14-05-2027
NL 45 DD 7557,yes,6,Blue,18-08-2024,06-02-2033,New India Assurance,Tata Motors,DEACTIVE,22-01-2023,NL,2015,personal,04-06-2030
AS 11 EI 3533,no,0,Blue,13-01-2027,08-01-2030,HDFC ERGO,Tata Motors,ACTIVE,02-12-2011,AS,2006,personal,27-08-2032
HR 88 CJ 5989,yes,1,Blue,22-09-2029,09-10-2023,United India Insurance,Tata Motors,ACTIVE,12-06-2010,HR,2013,personal,26-11-2027
JK 59 FP 8108,yes,10,Silver,09-09-2026,03-11-2023,United India Insurance,Tata Motors,ACTIVE,16-05-2012,JK,2003,commercial,25-05-2032
WB 71 LE 4612,yes,5,Silver,25-08-2030,11-02-2026,Bajaj Allianz,Hyundai,DEACTIVE,08-02-2011,WB,2011,commercial,05-09-2030
TN 87 PP 1754,no,0,Silver,15-08-2028,19-09-2025,SBI General,Hyundai,ACTIVE,25-08-2011,TN,2010,commercial,20-03-2031
TN 35 NM 2243,yes,9,Black,18-05-2024,30-12-2025,Oriental Insurance,Honda,ACTIVE,03-08-2017,TN,2011,commercial,01-04-2032
MP 92 MO 1747,yes,3,Yellow,17-10-2029,08-03-2033,Reliance General,Honda,ACTIVE,02-08-2016,MP,2021,commercial,11-05-2032
UP 78 VN 2220,yes,1,Silver,19-01-2026,21-06-2026,SBI General,Toyota,ACTIVE,13-12-2018,UP,2001,personal,27-07-2029
AS 69 PS 7269,yes,9,Red,02-03-2027,08-02-2029,ICICI LOMBARD,Hyundai,DEACTIVE,07-01-2014,AS,2020,commercial,01-05-2030
PB 20 YF 5441,no,0,Yellow,19-01-2031,07-09-2025,Future Generali,Maruti Suzuki,ACTIVE,06-08-2019,PB,2022,commercial,07-12-2032
JH 47 DS 4830,yes,5,Green,27-02-2029,28-02-2028,HDFC ERGO,Honda,DEACTIVE,10-11-2020,JH,2010,commercial,22-11-2029
AP 87 FY 6542,no,0,Yellow,05-07-2029,29-03-2028,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,09-05-2022,AP,2018,commercial,02-08-2025
TR 84 AH 6635,yes,5,Silver,27-11-2024,09-10-2024,ICICI LOMBARD,Hyundai,DEACTIVE,20-08-2010,TR,2001,commercial,21-09-2032
MP 35 RX 6791,yes,7,Silver,11-09-2031,11-11-2029,ICICI LOMBARD,Tata Motors,ACTIVE,20-06-2015,MP,2000,commercial,22-10-2025
AP 18 KP 8999,yes,2,Silver,21-09-2032,11-03-2031,New India Assurance,Honda,ACTIVE,06-01-2016,AP,2005,commercial,23-05-2030
MN 96 GS 3930,yes,6,Blue,02-03-2031,13-01-2031,Reliance General,Tata Motors,DEACTIVE,26-10-2018,MN,2023,commercial,14-06-2029
OD 75 GT 6643,yes,6,Blue,19-09-2027,09-10-2024,ICICI LOMBARD,Toyota,ACTIVE,19-08-2021,OD,2014,commercial,06-02-2031
UK 25 IG 5911,no,0,Yellow,11-10-2028,30-06-2033,United India Insurance,Toyota,DEACTIVE,07-12-2016,UK,2000,personal,25-07-2027
JH 17 EC 7927,yes,3,Silver,23-12-2030,02-07-2031,HDFC ERGO,Tata Motors,ACTIVE,28-04-2021,JH,2004,personal,08-07-2030
GJ 55 CC 2092,yes,10,White,24-07-2032,20-05-2026,Tata AIG,Honda,DEACTIVE,01-06-2018,GJ,2011,personal,01-01-2028
PB 27 FK 1946,no,0,Blue,05-11-2029,08-07-2030,United India Insurance,Honda,ACTIVE,14-02-2012,PB,2008,commercial,25-04-2026
GJ 14 BG 3885,no,0,Red,20-09-2031,10-10-2024,Bajaj Allianz,HERO MOTOCORP LTD,DEACTIVE,22-04-2011,GJ,2007,personal,07-03-2028
ML 98 IW 3627,yes,3,White,29-06-2027,24-10-2025,SBI General,Hyundai,DEACTIVE,16-05-2012,ML,2004,commercial,10-05-2032
KA 36 VM 9823,yes,8,Blue,10-04-2026,06-06-2031,ICICI LOMBARD,Toyota,DEACTIVE,28-02-2015,KA,2003,commercial,26-03-2029
RJ 76 BU 3532,no,0,Red,24-02-2024,26-06-2033,Future Generali,Tata Motors,ACTIVE,14-02-2013,RJ,2017,personal,17-01-2025
PB 14 QD 8096,yes,8,Yellow,27-03-2031,20-11-2029,New India Assurance,Maruti Suzuki,DEACTIVE,13-02-2013,PB,2012,personal,17-11-2024
TS 57 LJ 4168,yes,6,Blue,24-04-2029,18-07-2027,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,03-10-2012,TS,2004,personal,14-10-2027
AP 34 XP 6309,yes,6,Silver,18-11-2031,01-10-2023,United India Insurance,Tata Motors,DEACTIVE,31-01-2010,AP,2018,commercial,09-11-2023
HP 47 DN 8973,yes,6,Yellow,29-03-2032,30-06-2027,Oriental Insurance,Hyundai,ACTIVE,24-09-2019,HP,2007,commercial,07-08-2023
MZ 10 MT 3067,yes,8,Black,24-08-2025,13-10-2030,Future Generali,Maruti Suzuki,ACTIVE,18-12-2015,MZ,2005,personal,20-07-2025
TN 52 ET 8818,yes,6,Silver,14-01-2025,02-11-2023,Bajaj Allianz,Hyundai,ACTIVE,19-12-2013,TN,2008,commercial,17-05-2029
TS 82 RF 7118,yes,5,Blue,02-04-2026,16-06-2028,Future Generali,Honda,ACTIVE,02-11-2020,TS,2019,commercial,08-04-2033
AS 42 KT 3731,no,0,Yellow,28-01-2024,22-04-2028,United India Insurance,Honda,ACTIVE,15-08-2010,AS,2023,personal,21-12-2023
RJ 64 JT 9609,no,0,Silver,09-12-2032,04-04-2026,Bajaj Allianz,Tata Motors,ACTIVE,25-04-2013,RJ,2011,commercial,28-09-2027
GJ 42 NO 9768,yes,2,Silver,04-08-2029,18-05-2031,Future Generali,Honda,DEACTIVE,20-12-2022,GJ,2008,personal,21-04-2032
MN 54 PH 8381,no,0,Yellow,02-07-2030,04-04-2032,Reliance General,HERO MOTOCORP LTD,DEACTIVE,30-11-2021,MN,2015,commercial,18-06-2030
KA 59 LK 5449,yes,10,Red,17-08-2026,18-05-2033,ICICI LOMBARD,Hyundai,ACTIVE,12-07-2015,KA,2003,personal,13-02-2024
TS 52 ZB 2907,no,0,White,02-01-2025,08-02-2027,Future Generali,Maruti Suzuki,DEACTIVE,28-03-2020,TS,2008,personal,15-08-2026
MN 91 WT 7744,no,0,Blue,24-12-2025,10-08-2025,New India Assurance,Hyundai,DEACTIVE,29-09-2011,MN,2015,commercial,30-11-2026
GJ 55 ED 3245,no,0,Silver,04-01-2032,05-10-2030,HDFC ERGO,Honda,ACTIVE,18-11-2018,GJ,2002,personal,27-07-2026
SK 72 QI 2206,yes,10,Red,25-10-2024,18-05-2025,SBI General,Honda,DEACTIVE,09-01-2022,SK,2001,personal,08-03-2029
GA 17 CE 3515,yes,10,Blue,04-11-2024,23-01-2032,Reliance General,Honda,DEACTIVE,07-09-2013,GA,2004,commercial,20-02-2030
HR 17 BK 5788,yes,2,Silver,26-04-2027,21-10-2024,Future Generali,HERO MOTOCORP LTD,ACTIVE,22-08-2018,HR,2001,personal,22-09-2029
RJ 70 ET 2433,no,0,Black,11-07-2024,07-02-2032,Reliance General,Maruti Suzuki,DEACTIVE,07-02-2018,RJ,2001,commercial,28-10-2024
HP 24 RP 8361,yes,8,Blue,19-05-2027,05-06-2031,Tata AIG,Honda,ACTIVE,31-03-2023,HP,2007,commercial,27-01-2028
ML 49 YL 6987,no,0,Blue,03-04-2025,23-03-2032,Tata AIG,Tata Motors,ACTIVE,02-05-2023,ML,2013,personal,19-02-2032
MZ 75 JG 4849,no,0,White,27-02-2030,18-09-2029,ICICI LOMBARD,Hyundai,DEACTIVE,15-08-2011,MZ,2021,commercial,18-08-2023
